Doc,Source Idx,Source,Target Idx,Target,Distance,Difference,relation_type
A Multimodal Dataset of Images and Text to Study Abusive Language,0,"1In order to study abusive language online, the availability of datasets containing the linguistic phenomena of interest are of crucial importance.",1,"The dataset is freely available on Github 2 and, since the comments were collected with the written consent of parents and teachers, they can be freely used for research purposes, without the ethical implications that would derive from using real data posted by teenage users.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
A Multimodal Dataset of Images and Text to Study Abusive Language,0,"1In order to study abusive language online, the availability of datasets containing the linguistic phenomena of interest are of crucial importance.",2,"Furthermore, while text-only datasets for abusive language detection have been widely developed and used by the NLP community, limitations set by image-based social media platforms like Instagram make it difficult for researchers to experiment with multimodal data.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
A Multimodal Dataset of Images and Text to Study Abusive Language,1,"The dataset is freely available on Github 2 and, since the comments were collected with the written consent of parents and teachers, they can be freely used for research purposes, without the ethical implications that would derive from using real data posted by teenage users.",2,"Furthermore, while text-only datasets for abusive language detection have been widely developed and used by the NLP community, limitations set by image-based social media platforms like Instagram make it difficult for researchers to experiment with multimodal data.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,0,Readers of academic research papers often read with the goal of answering specific questions.,1,Question Answering systems that can answer those questions can make consumption of the content much more efficient.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,0,Readers of academic research papers often read with the goal of answering specific questions.,2,"In contrast, existing informationseeking question answering datasets usually contain questions about generic factoid-type information.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,0,Readers of academic research papers often read with the goal of answering specific questions.,3,"We find that existing models that do well on other QA tasks do not perform well on answering these questions, underperforming humans by at least 27 F 1 points when answering them from entire papers, motivating further research in document-grounded, information-seeking QA, which our dataset is designed to facilitate.Machines built to assist humans who engage with texts to seek information ought to be designed with an awareness of the information need.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,0,Readers of academic research papers often read with the goal of answering specific questions.,4,"Abstractly, the human's need should define the lens through which the system views the text in order to find desired information.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,0,Readers of academic research papers often read with the goal of answering specific questions.,5,"Existing information-seeking machine reading datasets (e.g., Kwiatkowski et al. , 2019; have led to significant progress in reading at scale (e.g., Asai et al. , 2020; Guu et al. , 2020 ;.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,0,Readers of academic research papers often read with the goal of answering specific questions.,6,"However, most of those benchmarks focus on an``open domain""setting where the questions are not anchored in any particular user context.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,0,Readers of academic research papers often read with the goal of answering specific questions.,7,"To the best of our knowledge, QASPER is the first QA dataset in the academic research domain focusing on entire papers, and not just abstracts.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,1,Question Answering systems that can answer those questions can make consumption of the content much more efficient.,2,"In contrast, existing informationseeking question answering datasets usually contain questions about generic factoid-type information.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,1,Question Answering systems that can answer those questions can make consumption of the content much more efficient.,3,"We find that existing models that do well on other QA tasks do not perform well on answering these questions, underperforming humans by at least 27 F 1 points when answering them from entire papers, motivating further research in document-grounded, information-seeking QA, which our dataset is designed to facilitate.Machines built to assist humans who engage with texts to seek information ought to be designed with an awareness of the information need.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,1,Question Answering systems that can answer those questions can make consumption of the content much more efficient.,4,"Abstractly, the human's need should define the lens through which the system views the text in order to find desired information.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,1,Question Answering systems that can answer those questions can make consumption of the content much more efficient.,5,"Existing information-seeking machine reading datasets (e.g., Kwiatkowski et al. , 2019; have led to significant progress in reading at scale (e.g., Asai et al. , 2020; Guu et al. , 2020 ;.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,1,Question Answering systems that can answer those questions can make consumption of the content much more efficient.,6,"However, most of those benchmarks focus on an``open domain""setting where the questions are not anchored in any particular user context.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,1,Question Answering systems that can answer those questions can make consumption of the content much more efficient.,7,"To the best of our knowledge, QASPER is the first QA dataset in the academic research domain focusing on entire papers, and not just abstracts.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,2,"In contrast, existing informationseeking question answering datasets usually contain questions about generic factoid-type information.",3,"We find that existing models that do well on other QA tasks do not perform well on answering these questions, underperforming humans by at least 27 F 1 points when answering them from entire papers, motivating further research in document-grounded, information-seeking QA, which our dataset is designed to facilitate.Machines built to assist humans who engage with texts to seek information ought to be designed with an awareness of the information need.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,2,"In contrast, existing informationseeking question answering datasets usually contain questions about generic factoid-type information.",4,"Abstractly, the human's need should define the lens through which the system views the text in order to find desired information.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,2,"In contrast, existing informationseeking question answering datasets usually contain questions about generic factoid-type information.",5,"Existing information-seeking machine reading datasets (e.g., Kwiatkowski et al. , 2019; have led to significant progress in reading at scale (e.g., Asai et al. , 2020; Guu et al. , 2020 ;.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,2,"In contrast, existing informationseeking question answering datasets usually contain questions about generic factoid-type information.",6,"However, most of those benchmarks focus on an``open domain""setting where the questions are not anchored in any particular user context.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,2,"In contrast, existing informationseeking question answering datasets usually contain questions about generic factoid-type information.",7,"To the best of our knowledge, QASPER is the first QA dataset in the academic research domain focusing on entire papers, and not just abstracts.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,3,"We find that existing models that do well on other QA tasks do not perform well on answering these questions, underperforming humans by at least 27 F 1 points when answering them from entire papers, motivating further research in document-grounded, information-seeking QA, which our dataset is designed to facilitate.Machines built to assist humans who engage with texts to seek information ought to be designed with an awareness of the information need.",4,"Abstractly, the human's need should define the lens through which the system views the text in order to find desired information.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,3,"We find that existing models that do well on other QA tasks do not perform well on answering these questions, underperforming humans by at least 27 F 1 points when answering them from entire papers, motivating further research in document-grounded, information-seeking QA, which our dataset is designed to facilitate.Machines built to assist humans who engage with texts to seek information ought to be designed with an awareness of the information need.",5,"Existing information-seeking machine reading datasets (e.g., Kwiatkowski et al. , 2019; have led to significant progress in reading at scale (e.g., Asai et al. , 2020; Guu et al. , 2020 ;.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,3,"We find that existing models that do well on other QA tasks do not perform well on answering these questions, underperforming humans by at least 27 F 1 points when answering them from entire papers, motivating further research in document-grounded, information-seeking QA, which our dataset is designed to facilitate.Machines built to assist humans who engage with texts to seek information ought to be designed with an awareness of the information need.",6,"However, most of those benchmarks focus on an``open domain""setting where the questions are not anchored in any particular user context.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,3,"We find that existing models that do well on other QA tasks do not perform well on answering these questions, underperforming humans by at least 27 F 1 points when answering them from entire papers, motivating further research in document-grounded, information-seeking QA, which our dataset is designed to facilitate.Machines built to assist humans who engage with texts to seek information ought to be designed with an awareness of the information need.",7,"To the best of our knowledge, QASPER is the first QA dataset in the academic research domain focusing on entire papers, and not just abstracts.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,4,"Abstractly, the human's need should define the lens through which the system views the text in order to find desired information.",5,"Existing information-seeking machine reading datasets (e.g., Kwiatkowski et al. , 2019; have led to significant progress in reading at scale (e.g., Asai et al. , 2020; Guu et al. , 2020 ;.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,4,"Abstractly, the human's need should define the lens through which the system views the text in order to find desired information.",6,"However, most of those benchmarks focus on an``open domain""setting where the questions are not anchored in any particular user context.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,4,"Abstractly, the human's need should define the lens through which the system views the text in order to find desired information.",7,"To the best of our knowledge, QASPER is the first QA dataset in the academic research domain focusing on entire papers, and not just abstracts.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,5,"Existing information-seeking machine reading datasets (e.g., Kwiatkowski et al. , 2019; have led to significant progress in reading at scale (e.g., Asai et al. , 2020; Guu et al. , 2020 ;.",6,"However, most of those benchmarks focus on an``open domain""setting where the questions are not anchored in any particular user context.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,5,"Existing information-seeking machine reading datasets (e.g., Kwiatkowski et al. , 2019; have led to significant progress in reading at scale (e.g., Asai et al. , 2020; Guu et al. , 2020 ;.",7,"To the best of our knowledge, QASPER is the first QA dataset in the academic research domain focusing on entire papers, and not just abstracts.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
A Dataset of Information-Seeking Questions and Answers Anchored in Research Papers,6,"However, most of those benchmarks focus on an``open domain""setting where the questions are not anchored in any particular user context.",7,"To the best of our knowledge, QASPER is the first QA dataset in the academic research domain focusing on entire papers, and not just abstracts.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Do Language Embeddings Capture Scales?,0,"Pretrained Language Models (LMs) have been shown to possess significant linguistic, common sense and factual knowledge.",1,One form of knowledge that has not been studied yet in this context is information about the scalar magnitudes of objects.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Do Language Embeddings Capture Scales?,0,"Pretrained Language Models (LMs) have been shown to possess significant linguistic, common sense and factual knowledge.",2,1 * Both authors contributed equally.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
