Worker_name,Assignment,Unit,Role,Message,Message Number
WIKLH0A8DL2D35XF0FV,22,43,Proponent,Hello! What is the type of knowledge that is injected in the neural networks?,0
WIKLH0A8DL2D35XF0FV,22,43,Proponent,Interesting! What is the problem used to perform the experiment?,2
WIKLH0A8DL2D35XF0FV,22,43,Proponent,"Yes, thank you",4
WIKLH0A8DL2D35XF0FV,22,43,Proponent,I understand. And how is knowledge injected in these networks?,6
WIKLH0A8DL2D35XF0FV,22,43,Proponent,"yes, thank you!",8
NA730CWH7DUOZ,22,44,Domain Expert,"Hi! We inject domain knowledge from Constrained Satisfaction Problems.
 Facts: 
1. Using a classical constrained problem as a case study grants access to reliable domain knowledge (the declarative formulation), and facilitates the generation of empirical data (problem solutions).
",1
NA730CWH7DUOZ,22,44,Domain Expert,"We employ the Partial Latin Square completion problem. Do you want to know how does it work?
 Facts: 
1. We use as a benchmark the Partial Latin Square (PLS) completion problem,
",3
NA730CWH7DUOZ,22,44,Domain Expert,"You have a partially filled NxN square and you have to complete it with all the values in the range from 1 to N preventing the same value to appear more than once in the same row or column.
 Facts: 
1. We use as a benchmark the Partial Latin Square (PLS) completion problem, which requires to complete a partially filled n × n square with values in {1..n}, such that no value appears twice on any row or column.
",5
NA730CWH7DUOZ,22,44,Domain Expert,I'm sorry but I have not enough information to answer your question. Do you want to know why we choose the to inject knowledge in a data-driven approach?,7
NA730CWH7DUOZ,22,44,Domain Expert,"Data-driven methods can take into account preferences that are hard to design in Constrained Satisfaction Problem. At the same time data-driven method struggle to preserve feasibility.
 Facts: 
1. Constrained problem are classically modeled by domain experts in a fully declarative fashion: however, such models can be hard to design, may rely on simplistic and unquantifiable approximations, and may fail to take into account constraints (or preferences)
2. Data-driven methods for constrained problems offer a potential solution for some of these issues, but they may have trouble maintaining feasibility
",9
2MGUXRMB0OCLW,60,119,Proponent,"Hi, what is this paper about?",0
2MGUXRMB0OCLW,60,119,Proponent,This sounds very interesting. How exactly do you inject knowledge in the network?,2
2MGUXRMB0OCLW,60,119,Proponent,"Ok, thanks anyhow. Which kind of problems has the method you propose been applied to?",4
2MGUXRMB0OCLW,60,119,Proponent,"Yes, please. Which kind of CSP problems?",6
2MGUXRMB0OCLW,60,119,Proponent,Thank you. I believe that plugging knowledge into neural architectures is a crucial issue for AI in the coming years. Do you need to encode the knowledge in some language? Does knowledge injection affect training time?,8
2MGUXRMB0OCLW,60,119,Proponent,"Thank you, this is all I wanted to know!",10
NA730CWH7DUOZ,60,120,Domain Expert,"Hi! This paper assess the impact of knowledge injection in a data-driven approach.
 Facts: 
1. Using a classical constrained problem as a case study, we perform controlled experiments to probe the impact of progressively adding domain and empirical knowledge in the DNN.
",1
NA730CWH7DUOZ,60,120,Domain Expert,Unfourtunately I have not enough information to answer your question.,3
NA730CWH7DUOZ,60,120,Domain Expert,"We applied to a particular class of Constrained Satisfaction problem. Do you want to know which one?
 Facts: 
1. One such case is that of Constraint Problems, for which declarative approaches exists and pure ML solutions have obtained mixed success.
2.  As a byproduct of our analysis, we develop general techniques for taking into account constraints in data-driven methods for decision problems, based on easily accessible methods from the Constraint Programming and Machine Learning domains.
",5
NA730CWH7DUOZ,60,120,Domain Expert,"We employ the Partial Latin Square completion problem which require to complete a partially filled NxN square with all the values in the range from 1 to N such that no value appear twice in any row and column.
 Facts: 
1. We use as a benchmark the Partial Latin Square (PLS) completion problem, which requires to complete a partially filled n × n square with values in {1..n}, such that no value appears twice on any row or column.
",7
NA730CWH7DUOZ,60,120,Domain Expert,"Our method takes inspiration from Constraint Programming  and it can be applied also at test time.
 Facts: 
1. As a byproduct of our analysis, we develop general techniques for taking into account constraints in data-driven methods for decision problems, based on easily accessible methods from the Constraint Programming and Machine Learning domains.
2. We train a problem-agnostic, data-driven, solution approach on a pool of solutions, and we inject domain knowledge (constraints) both at training time and at solution generation time
",9
NA730CWH7DUOZ,60,120,Domain Expert,You are welcome!,11
EBVOMGT2U8GQQZCD462,62,123,Proponent,Hi! What is the article about?,0
EBVOMGT2U8GQQZCD462,62,123,Proponent,Can you tell me how does the attention module work?,2
EBVOMGT2U8GQQZCD462,62,123,Proponent,"Yes, tell me more about it.",4
EBVOMGT2U8GQQZCD462,62,123,Proponent,What kind of corpora was the neural architecture tested on?,6
EBVOMGT2U8GQQZCD462,62,123,Proponent,On which of the two did the architecture perform best?,8
EBVOMGT2U8GQQZCD462,62,123,Proponent,Do you know why this happened?,10
WIKLH0A8DL2D35XF0FV,62,124,Domain Expert,"The article is about a new neural architecture to perform Argument Mining. This architecture features an attention module and is validated on multiple corpora. Which aspect would you like to know more about?
 Facts: 
1. A novel approach to AM, which extends our previous work [7] by introducing an attention module and ensemble learning. Such a model performs multiple AM tasks at the same time, and does not rely on ad-hoc features or rich contextual information
2. A set of experiments designed to assess generality, whereby we test our approach on three additional corpora that vary in domain, style of writing, formatting, length, and annotation model
",1
WIKLH0A8DL2D35XF0FV,62,124,Domain Expert,"I'm sorry, but I don't have information on this aspect. Would you like to know more about the argument mining task instead?
 Facts: 
1. The model exploits neural attention and multi-task learning, jointly addressing the problems of identifying the category of argument components, and predicting the relations among them.
",3
WIKLH0A8DL2D35XF0FV,62,124,Domain Expert,"Argument Mining is a research field related to NLP that concerns the extraction and the classification of arguments and their relationships.
 Facts: 
1. A RGUMENT mining (AM) is an emerging research area in natural language processing (NLP) which aims to extract arguments from text collections [1] . AM consists of several different tasks, that include argument detection, stance classification, topic-based argumentative content retrieval, and many others [2] .
2. Such problem comprises the detection of both argument components, and relations (or links) amongst them, and is thus one of the most difficult steps for AM systems.
",5
WIKLH0A8DL2D35XF0FV,62,124,Domain Expert,"It was tested on corpora composed by user-generated comments and by scientific publications
 Facts: 
1. We evaluate it on a challenging data set consisting of usergenerated comments, as well as on two other datasets consisting of scientific publications.
",7
WIKLH0A8DL2D35XF0FV,62,124,Domain Expert,"The best performance was achieved on the first one
 Facts: 
1. On the user-generated content dataset, our model outperforms state-of-the-art methods that rely on domain knowledge. On the scientific literature datasets it achieves results comparable to those yielded by BERT-based approaches but with a much smaller model size.
",9
WIKLH0A8DL2D35XF0FV,62,124,Domain Expert,There is no information available about this. Do you want to know more or are you satisfied?,11
NRT5ANWYUVK5HWE4VY7,63,125,Proponent,Hi! What is this paper about?,0
